V_in,R_in,R_sys,freq,C_DC,C_EXT,C_casc,diode,opamp,eff
1.5 V,100 Ω,5 kΩ,25 Hz,100 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.983250846922408
1.5 V,100 Ω,5 kΩ,40 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.982966418306256
1.5 V,100 Ω,5 kΩ,55 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9827395423262685
1.5 V,100 Ω,10 kΩ,10 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9715508443539922
1.5 V,100 Ω,10 kΩ,25 Hz,100 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9698339797117399
1.5 V,100 Ω,10 kΩ,40 Hz,1000 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.969499050678063
1.5 V,100 Ω,10 kΩ,55 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9693216095381855
1.5 V,100 Ω,20 kΩ,10 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.947881552212876
1.5 V,100 Ω,20 kΩ,25 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9446989242896605
1.5 V,100 Ω,20 kΩ,40 Hz,220 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9443092157666996
1.5 V,100 Ω,20 kΩ,55 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9442104006724059
1.5 V,100 Ω,50 kΩ,10 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8836729529463093
1.5 V,100 Ω,50 kΩ,25 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8775877868942897
1.5 V,100 Ω,50 kΩ,40 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8765767587735575
1.5 V,100 Ω,50 kΩ,55 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8756755375493628
1.5 V,200 Ω,5 kΩ,10 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.982066914538486
1.5 V,200 Ω,5 kΩ,25 Hz,100 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9806943026279873
1.5 V,200 Ω,5 kΩ,40 Hz,470 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9806070174069442
1.5 V,200 Ω,5 kΩ,55 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9805469021062526
1.5 V,200 Ω,10 kΩ,10 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.968991606154421
1.5 V,200 Ω,10 kΩ,25 Hz,100 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9669759551002367
1.5 V,200 Ω,10 kΩ,40 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9667947668768495
1.5 V,200 Ω,10 kΩ,55 Hz,220 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9664817926457961
1.5 V,200 Ω,20 kΩ,10 Hz,220 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9443826821462588
1.5 V,200 Ω,20 kΩ,25 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9411537980421344
1.5 V,200 Ω,20 kΩ,40 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9409255318293336
1.5 V,200 Ω,20 kΩ,55 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9405246896752593
1.5 V,200 Ω,50 kΩ,10 Hz,100 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8795181728119787
1.5 V,200 Ω,50 kΩ,25 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8731404046985297
1.5 V,200 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8722350181059634
1.5 V,200 Ω,50 kΩ,55 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8718123237264261
1.5 V,500 Ω,5 kΩ,10 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.994450053568663
1.5 V,500 Ω,5 kΩ,25 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9954235706241874
1.5 V,500 Ω,5 kΩ,40 Hz,100 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9954269228656384
1.5 V,500 Ω,5 kΩ,55 Hz,220 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9953673805064466
1.5 V,500 Ω,10 kΩ,10 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9629391491298603
1.5 V,500 Ω,10 kΩ,25 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9601072874993439
1.5 V,500 Ω,10 kΩ,40 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9597728763151331
1.5 V,500 Ω,10 kΩ,55 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9595557116198177
1.5 V,500 Ω,20 kΩ,10 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9374323722815897
1.5 V,500 Ω,20 kΩ,25 Hz,220 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9332822799505671
1.5 V,500 Ω,20 kΩ,40 Hz,100 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9328086839184068
1.5 V,500 Ω,20 kΩ,55 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9323926915504902
1.5 V,500 Ω,50 kΩ,10 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8715984369106367
1.5 V,500 Ω,50 kΩ,25 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8641207612407343
1.5 V,500 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8629377475441332
1.5 V,500 Ω,50 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8624782916821854
1.5 V,1000 Ω,10 kΩ,10 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.990422926552036
1.5 V,1000 Ω,10 kΩ,25 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9910756138056941
1.5 V,1000 Ω,10 kΩ,40 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9910836367743053
1.5 V,1000 Ω,10 kΩ,55 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9910244095658782
1.5 V,1000 Ω,20 kΩ,10 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9278300126239252
1.5 V,1000 Ω,20 kΩ,25 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9227820517466426
1.5 V,1000 Ω,20 kΩ,40 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9219897354466096
1.5 V,1000 Ω,20 kΩ,55 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.921668959050596
1.5 V,1000 Ω,50 kΩ,10 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8607554091259633
1.5 V,1000 Ω,50 kΩ,25 Hz,47 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8520930674964896
1.5 V,1000 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8506768268476841
1.5 V,1000 Ω,50 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8501213731706743
